,mean,min,delta,label
0,284.3368172993429,209.49518859106288,74.84162870828001,natural
1,472.5701994159223,467.321369668673,5.24882974724926,harsh
2,588.9716314857733,559.1272846221774,29.844346863595888,natural
3,572.0884819464377,437.3026921754997,134.78578977093798,harsh
4,190.69406846793152,151.14338682291037,39.55068164502114,natural
5,480.9543299901364,405.1053196760895,75.8490103140469,harsh
6,574.006567961436,166.36284845552768,407.6437195059083,harsh
7,576.8395295375544,573.7963043300188,3.04322520753567,harsh
8,556.2326536111387,177.2177232827873,379.01493032835145,harsh
9,23.75808529448346,20.671473348123442,3.0866119463600192,natural
10,583.1135981689025,549.0960461048513,34.01755206405119,harsh
11,580.3245329818412,170.67622444657007,409.64830853527116,harsh
12,579.1983777705483,574.6723009311339,4.526076839414372,natural
13,405.5149826039618,385.6420337017704,19.87294890219141,natural
14,245.40176252655155,177.67846719833116,67.72329532822039,natural
15,620.123305969721,617.9413627465735,2.181943223147414,natural
16,566.2705641014508,560.8693681825921,5.401195918858662,natural
17,543.2954641768408,449.2053346352328,94.09012954160801,natural
18,582.5023065711499,277.22372246797545,305.27858410317447,natural
19,490.7750225679506,387.7114811394208,103.06354142852979,harsh
20,580.0717384326013,430.7703054992438,149.30143293335743,harsh
21,574.2895825532421,170.76207825957547,403.52750429366665,harsh
22,479.50839529260384,466.3847408940734,13.123654398530448,harsh
23,477.7181459990418,470.84817500544005,6.869970993601726,natural
